,modelA_EX_ca2_e,modelA_EX_cl_e,modelA_EX_co2_e,modelA_EX_cobalt2_e,modelA_EX_fe3_e,modelA_EX_fe3pyovd_kt_e,modelA_EX_h2o_e,modelA_EX_h_e,modelA_EX_k_e,modelA_EX_mg2_e,modelA_EX_mn2_e,modelA_EX_nh4_e,modelA_EX_o2_e,modelA_EX_pyovd_kt_e,modelA_EX_zn2_e,modelB_EX_ca2_e,modelB_EX_cl_e,modelB_EX_co2_e,modelB_EX_cobalt2_e,modelB_EX_fe3_e,modelB_EX_fe3pyovd_kt_e,modelB_EX_h2o_e,modelB_EX_h_e,modelB_EX_k_e,modelB_EX_mg2_e,modelB_EX_mn2_e,modelB_EX_nh4_e,modelB_EX_o2_e,modelB_EX_pyovd_kt_e,modelB_EX_zn2_e,label
SRR12328955,-0.031397825948602,-0.031397825948602,341.47213223632843,-0.0006032243218214,-1000.0,1000.0,-1000.0,922.5898413630676,-1.1774516504090116,-0.052329709914261,-0.0041682800634816,682.8352980311706,-0.031397825948602,-1000.0,-0.0020569949372202,-0.1454282453747737,-0.1454282453747737,658.5278677636716,-0.0027940104779418,999.5942258582944,-1000.0,0.0,-18.709015471231623,-5.4537128721297,-0.2423804089579562,-0.0193066124022607,317.1647019688294,-352.309956719625,1000.0,-0.0095275757296349,Covid
SRR12328956,-0.1747886334630569,-0.1747886334630569,565.7079221735257,-0.0033580909406699,-833.3333333333334,833.17043535284,-333.77764076141045,-156.28430639183009,-6.55475844986546,-0.2913143891050443,-0.0232044084001662,661.3372975043177,-283.7525034700814,-833.1704353528402,-0.0114510901077551,-0.112790941266193,-0.112790941266193,434.2920778264743,-0.0021669729349961,666.5034517048771,-499.9445637837744,493.7921655768103,-155.94455667746604,-4.229779480993936,-0.1879849021103344,-0.0149737829808032,255.8574735048232,-468.94658350053913,499.9445637837744,-0.0073893777083071,Covid
SRR12328957,-0.0541439371650691,-0.0541439371650691,332.5129599821428,-0.0010402293403482,-266.67597712359367,266.6231561460798,208.5718150702585,-171.9897384759523,-2.0304548563044214,-0.0902398952751506,-0.0071879847417828,76.80521593418347,-138.94834798748278,-266.6231561460798,-0.003547182050579,-0.0778614816406464,-0.0778614816406464,666.4769569962544,-0.0014958978221026,-0.3464574142563681,-0.077059777693383,-333.0658872594798,-217.11887173709877,-2.919887835904956,-0.1297691360677542,-0.0103366539507533,286.67356091137674,-238.3483040080898,0.0770597776933527,-0.0051010115733712,Covid
SRR12328958,-0.102729505089387,-0.102729505089387,475.7235936443377,-0.0019736696463041,-274.1923784707062,500.2183936698417,47.33594360855684,-135.4659024071699,-3.8524649926822985,-0.1712158418156346,-0.0136380572558607,512.8507248632145,-258.9512210953382,-500.2183936698417,-0.0067302134938434,-0.1041756897045521,-0.1041756897045489,435.0516525216141,-0.0020014541730025,324.85157703059133,-224.85749277336743,144.56585768148557,368.7998047370956,-3.906698443899681,-0.1736261495075679,-0.0138300483354088,376.6628344988965,-433.3545838112139,224.85749277336743,-0.0068249587299173,Covid
SRR12672291,-0.1602013424916701,-0.1602013424916701,944.293395634124,-0.0030778355906401,-1000.0,999.7596825970846,362.71270655743257,-481.1937694477174,-6.007719624395084,-0.2670022374860916,-0.0212678439311654,467.7726424315631,-325.16403619801747,-994.7245813908004,-0.0104954193639817,-0.0752290757618538,-0.0752290757618538,55.706604365876125,-0.0014453232615399,0.0,-0.1128508402590569,346.5754177371262,-41.26256174880469,-2.821169833848406,-0.1253817929363852,-0.0099871837370528,284.62329023136243,-499.9749207253937,0.1128508402590569,-0.0049285523217956,Covid
SRR12672292,-0.1103986711720684,-0.1103986711720684,788.9843323192462,-0.0021210119341503,-758.1971556351924,833.3050921894928,-260.96020269236504,-37.99616831873016,-4.1400668246088985,-0.1839977852867681,-0.0146561924649025,500.0876041129554,-329.4924295922169,-833.3050921894928,-0.0072326506954141,-0.0957687624722325,-0.0957687624722325,133.6667788041403,-0.0018399377996729,666.5382708554657,-666.6666666666666,-156.90472576089564,844.332039981204,-3.591429789287114,-0.1596146041203686,-0.012713970195648,204.6676260837972,-478.4408615439666,666.6666666666666,-0.0062741878968116,Covid
SRR12672293,-0.1883065747090313,-0.1883065747090313,718.7770587587743,-0.0036178016274561,333.3333333333333,-333.3333333333333,-10.304521792576187,346.8486261275082,-7.06169553067726,-0.3138442911817189,-0.0249990092456755,83.41011515700181,-284.6135847965806,333.3333333333333,-0.0123367035495978,-0.1401743981031131,-0.1401743981031131,281.2229412412257,-0.0026930720096819,-666.6666666666666,666.5007425201185,-323.02881154075715,-255.9218268761977,-5.256688047826249,-0.2336239968385219,-0.0186091275867662,362.930698079828,-548.9376382508368,-666.5007425201185,-0.0091833755529175,Covid
SRR13077653,-0.1332800602749273,-0.1332800602749273,598.5064035425845,-0.0025606159514909,-607.1506229201508,607.0230266829503,17.821524417534942,170.08354385740265,-4.998143094186901,-0.2221334337915306,-0.0176938562247731,174.7917521076606,-416.1346954185421,-607.0230266829503,-0.008731700394577,-0.0998657987010257,-0.0998657987010257,379.0454467271564,-0.0019186512718688,249.9505430827033,-250.02462373788052,48.79685446189018,308.29129062418366,-3.745072977108618,-0.1664429978350564,-0.0132578802886525,263.20442801197913,-301.7339702003696,250.02462373788052,-0.0065426008370772,Covid
SRR13077659,-0.1132389530330856,-0.1132389530330856,578.3287644574265,-0.0021755802696158,-144.41024679301455,285.6531627291924,-170.5134224545215,12.093360690532458,-4.246580395655542,-0.188731588388472,-0.0150332596629953,509.8890129383414,-242.04745383524488,-285.6531627291924,-0.0074187287193621,-0.1219369799103365,-0.1219369799103365,391.1786240696918,-0.0023426893354537,-131.28551553805823,333.2208028335987,-89.59647856496086,-427.5684318272033,-4.572765594551178,-0.2032282998505528,-0.0161879833079906,303.39216918334574,-402.5748391008596,-333.2208028335987,-0.0079885706339065,Covid
SRR13077684,-0.1409374203555454,-0.1409374203555454,529.8961483151443,-0.0027077314189279,-424.3005218469312,454.3418815247968,-98.25161336698218,353.24539040804257,-5.285302188560954,-0.2348957005925809,-0.01871042410484,346.1074397640327,-467.3127470039872,-454.3418815247968,-0.0092333641385724,-0.1204089701731887,-0.1204089701731887,442.26773631064407,-0.0023133327602918,349.95893162784853,-259.69885525468715,104.1691519111559,24.9855898768902,-4.515463614796428,-0.2006816169553127,-0.0159851293736168,338.13466014483697,-327.98114606405335,259.69885525468715,-0.0078884647126005,Covid
