Model , GRSpeciesAFull , GRSpeciesBFull , GRASolo , GRBSolo , TypeOfInteraction,Patient
SRR12328893.bin.8.fbc2XSRR12328893.bin.7.fbc2 ,16.616063224992903,30.70539554301857,16.6160632249929,31.247381817126115, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.5.fbc2 ,35.58966321246642,16.19735896628645,35.60491007969576,33.36031571268701, Amensalism,Healthy
SRR12328893.bin.30.fbc2XSRR12328893.bin.7.fbc2 ,16.44751052767885,28.298614611378195,16.51542855646088,31.247381817126115, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.2.fbc2 ,35.60491007969573,0.0,35.60491007969576,15.614204404134169, Amensalism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.16.fbc2 ,35.60491007969573,16.77192221893603,35.60491007969576,16.841051261532815, Neutralism,Healthy
SRR12328893.bin.10.fbc2XSRR12328893.bin.30.fbc2 ,10.78416626428466,16.4369858320137,15.030650383150506,16.515428556460872, Amensalism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.16.fbc2 ,17.943060505091836,16.841051261532836,17.948787550996975,16.841051261532865, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.13.fbc2 ,12.98434768265696,25.617957244259077,12.98434768265696,25.739189740860027, Neutralism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.8.fbc2 ,18.4909932572258,16.61224527416438,26.295347378367893,16.61606322499291, Amensalism,Healthy
SRR12328893.bin.2.fbc2XSRR12328893.bin.30.fbc2 ,15.614204404134163,11.974691129560108,15.61420440413418,16.515428556460872, Amensalism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.9.fbc2 ,14.5211471157737,33.3546090680267,15.396966142179837,34.13472174973947, Neutralism,Healthy
SRR12328893.bin.9.fbc2XSRR12328893.bin.30.fbc2 ,34.13472174973947,11.974691129560108,34.13472174973946,16.515428556460886, Amensalism,Healthy
SRR12328893.bin.8.fbc2XSRR12328893.bin.30.fbc2 ,16.60324940257012,14.139348343391598,16.6160632249929,16.51542855646088, Amensalism,Healthy
SRR12328893.bin.25.fbc2XSRR12328893.bin.7.fbc2 ,16.820053217302785,31.242239503903384,16.820053217302778,31.24738181712612, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.14.fbc2 ,35.36208272487025,12.96273573767457,35.60491007969576,12.984347682656956, Neutralism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.8.fbc2 ,16.84105126153287,16.6160632249929,16.84105126153284,16.61606322499291, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.25.fbc2 ,12.98434768265696,16.82005321730277,12.98434768265696,16.820053217302778, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.10.fbc2 ,14.889936470028552,11.70388949291054,17.948787550996975,15.030650383150512, Competition,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.10.fbc2 ,23.3714340515086,7.336295248662619,26.295347378367893,15.030650383150498, Competition,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.10.fbc2 ,16.37059450624294,14.122697191098291,16.37495824795021,15.030650383150505, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.2.fbc2 ,33.360315712687026,0.0,33.36031571268701,15.614204404134169, Amensalism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.24.fbc2 ,33.360315712687004,0.0,33.36031571268701,15.396966142179837, Amensalism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.30.fbc2 ,15.394647888838527,16.51542855646088,15.396966142179837,16.515428556460872, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.21.fbc2 ,12.984347682656958,7.540744295050315,12.98434768265696,7.658885225449065, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.21.fbc2 ,17.128475500911435,3.551364907809063,17.948787550996975,7.658885225449072, Amensalism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.9.fbc2 ,21.960300328840127,34.13472174973948,25.739189740860027,34.13472174973946, Amensalism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.22.fbc2 ,16.231952493881735,35.523961584853645,16.37495824795021,35.60491007969572, Neutralism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.7.fbc2 ,17.386378442220085,29.950439714128432,25.739189740860027,31.24738181712613, Amensalism,Healthy
SRR12328894.bin.5.fbc2XSRR12328894.bin.2.fbc2 ,34.84347813103973,16.904912529545037,34.84347813103974,16.90491252954504, Neutralism,Healthy
SRR12328894.bin.21.fbc2XSRR12328894.bin.14.fbc2 ,31.913821448424116,16.678125584972502,31.91382144842412,16.689371443891314, Neutralism,Healthy
SRR12328894.bin.22.fbc2XSRR12328894.bin.5.fbc2 ,16.619766240328662,34.70945995867758,16.619766240328655,34.84347813103973, Neutralism,Healthy
SRR12328894.bin.1.fbc2XSRR12328894.bin.13.fbc2 ,7.996703547365576,17.045579966057133,8.032060741527648,17.04557996605714, Neutralism,Healthy
SRR12328894.bin.21.fbc2XSRR12328894.bin.13.fbc2 ,31.729412265620347,16.995924346748986,31.91382144842412,17.04557996605714, Neutralism,Healthy
SRR12328894.bin.26.fbc2XSRR12328894.bin.2.fbc2 ,21.402854800042604,16.90491252954504,22.886665896374144,16.90491252954504, Neutralism,Healthy
SRR12328894.bin.10.fbc2XSRR12328894.bin.13.fbc2 ,16.38470299551285,17.045579966057126,16.384702995512843,17.04557996605714, Neutralism,Healthy
SRR12328894.bin.2.fbc2XSRR12328894.bin.13.fbc2 ,16.904912529545037,17.045579966057137,16.90491252954504,17.04557996605714, Neutralism,Healthy
SRR12328894.bin.5.fbc2XSRR12328894.bin.12.fbc2 ,34.84347813103973,13.226272892173371,34.84347813103974,13.226272892173377, Neutralism,Healthy
SRR12328894.bin.23.fbc2XSRR12328894.bin.18.fbc2 ,17.16829462015951,8.613732150647916,17.16829462015951,8.613732150647934, Neutralism,Healthy
SRR12328894.bin.10.fbc2XSRR12328894.bin.16.fbc2 ,16.384702995512846,32.732127080257605,16.384702995512843,32.732127080257605, Neutralism,Healthy
SRR12328894.bin.10.fbc2XSRR12328894.bin.2.fbc2 ,16.384702995512843,16.90491252954504,16.384702995512843,16.904912529545037, Neutralism,Healthy
SRR12328894.bin.21.fbc2XSRR12328894.bin.12.fbc2 ,31.86392098454684,13.19359516610962,31.91382144842412,13.226272892173368, Neutralism,Healthy
SRR12328894.bin.26.fbc2XSRR12328894.bin.7.fbc2 ,17.532754507561204,42.69220745432623,22.886665896374144,46.12970982051825, Amensalism,Healthy
SRR12328894.bin.9.fbc2XSRR12328894.bin.6.fbc2 ,30.219028757961507,17.372492517726986,30.233194307212987,17.372865971253326, Neutralism,Healthy
SRR12328894.bin.23.fbc2XSRR12328894.bin.7.fbc2 ,9.686212395607932,37.75376086542854,17.16829462015951,46.12970982051825, Competition,Healthy
SRR12328894.bin.22.fbc2XSRR12328894.bin.13.fbc2 ,10.66465730149798,16.799364073512496,16.619766240328655,17.04557996605714, Amensalism,Healthy
SRR12328894.bin.19.fbc2XSRR12328894.bin.6.fbc2 ,15.636869116637758,17.37286597125333,15.636869116637758,17.372865971253326, Neutralism,Healthy
SRR12328894.bin.3.fbc2XSRR12328894.bin.10.fbc2 ,25.32643815989142,16.384702995512836,25.326438159891417,16.384702995512836, Neutralism,Healthy
SRR12328894.bin.14.fbc2XSRR12328894.bin.17.fbc2 ,16.68937144389132,34.327760869797395,16.689371443891318,34.39072436051766, Neutralism,Healthy
SRR12328894.bin.26.fbc2XSRR12328894.bin.9.fbc2 ,13.862048227756253,27.689364898555507,22.886665896374144,30.233194307213044, Amensalism,Healthy
SRR12328894.bin.5.fbc2XSRR12328894.bin.7.fbc2 ,34.84347813103973,46.129709820518265,34.84347813103974,46.12970982051825, Neutralism,Healthy
SRR12328894.bin.22.fbc2XSRR12328894.bin.10.fbc2 ,15.86734443997409,16.2148645976921,16.619766240328655,16.384702995512846, Neutralism,Healthy
SRR12328894.bin.1.fbc2XSRR12328894.bin.2.fbc2 ,7.971598482995178,16.904912529545037,8.032060741527648,16.904912529545037, Neutralism,Healthy
SRR12328894.bin.1.fbc2XSRR12328894.bin.7.fbc2 ,4.880426351992631,42.37850150948933,8.032060741527648,46.129709820518265, Amensalism,Healthy
SRR12328894.bin.26.fbc2XSRR12328894.bin.21.fbc2 ,21.102899930227267,16.357680978110803,22.886665896374144,31.913821448424105, Amensalism,Healthy
SRR12328894.bin.9.fbc2XSRR12328894.bin.8.fbc2 ,30.233194307213008,20.998502748209656,30.233194307212987,21.756106073123533, Neutralism,Healthy
SRR12328894.bin.10.fbc2XSRR12328894.bin.14.fbc2 ,16.38470299551285,16.68937144389132,16.384702995512843,16.68937144389132, Neutralism,Healthy
SRR12328894.bin.9.fbc2XSRR12328894.bin.18.fbc2 ,28.925582076068647,2.302851866579408,30.233194307212987,8.613732150647923, Amensalism,Healthy
SRR12328894.bin.9.fbc2XSRR12328894.bin.2.fbc2 ,30.210888535884145,16.90491252954504,30.233194307212987,16.90491252954504, Neutralism,Healthy
SRR12328894.bin.23.fbc2XSRR12328894.bin.17.fbc2 ,17.166941970053887,21.78838129900573,17.16829462015951,34.390724360517666, Amensalism,Healthy
SRR12328894.bin.9.fbc2XSRR12328894.bin.12.fbc2 ,30.23319430721302,13.220038910907778,30.233194307212987,13.226272892173364, Neutralism,Healthy
SRR12328894.bin.16.fbc2XSRR12328894.bin.14.fbc2 ,32.732127080257605,16.689371443891318,32.7321270802576,16.68937144389132, Neutralism,Healthy
SRR12328894.bin.14.fbc2XSRR12328894.bin.2.fbc2 ,16.689371443891318,16.90491252954504,16.689371443891318,16.90491252954504, Neutralism,Healthy
SRR12328894.bin.20.fbc2XSRR12328894.bin.2.fbc2 ,20.85044587344935,16.90491252954504,20.85838433983539,16.904912529545037, Neutralism,Healthy
SRR12328894.bin.23.fbc2XSRR12328894.bin.13.fbc2 ,15.52966098226475,17.004382512581362,17.16829462015951,17.04557996605714, Neutralism,Healthy
SRR12328894.bin.26.fbc2XSRR12328894.bin.3.fbc2 ,21.307025322782277,17.482511269655294,22.886665896374144,25.326438159891428, Amensalism,Healthy
SRR12328894.bin.16.fbc2XSRR12328894.bin.1.fbc2 ,32.732127080257584,0.0,32.7321270802576,8.032060741527635, Amensalism,Healthy
SRR12328894.bin.3.fbc2XSRR12328894.bin.12.fbc2 ,25.326438159891413,13.22003891090778,25.326438159891417,13.226272892173368, Neutralism,Healthy
SRR12328894.bin.23.fbc2XSRR12328894.bin.5.fbc2 ,17.16829462015954,34.84347813103973,17.16829462015951,34.84347813103973, Neutralism,Healthy
